CMDLINE C:\Users\Acer\AppData\Local\Programs\Python\Python311\python.exe cli.py
MEM 72.292969 1749533640.7583
MEM 72.292969 1749533640.8590
MEM 72.292969 1749533640.9595
MEM 72.292969 1749533641.0602
MEM 72.292969 1749533641.1608
MEM 72.292969 1749533641.2615
MEM 72.328125 1749533641.3622
MEM 72.328125 1749533641.4628
MEM 72.328125 1749533641.5632
MEM 72.328125 1749533641.6636
MEM 72.328125 1749533641.7642
MEM 72.328125 1749533641.8647
MEM 72.328125 1749533641.9652
MEM 72.328125 1749533642.0662
MEM 72.328125 1749533642.1667
MEM 72.328125 1749533642.2676
MEM 72.328125 1749533642.3681
MEM 72.328125 1749533642.4688
MEM 72.328125 1749533642.5692
MEM 72.328125 1749533642.6697
MEM 72.328125 1749533642.7703
MEM 72.328125 1749533642.8707
MEM 72.328125 1749533642.9711
MEM 72.328125 1749533643.0725
MEM 72.328125 1749533643.1735
MEM 72.328125 1749533643.2740
MEM 72.328125 1749533643.3745
MEM 72.328125 1749533643.4750
MEM 72.328125 1749533643.5755
MEM 72.328125 1749533643.6758
MEM 72.328125 1749533643.7763
MEM 72.328125 1749533643.8768
MEM 72.328125 1749533643.9772
MEM 72.328125 1749533644.0779
MEM 72.328125 1749533644.1792
MEM 72.328125 1749533644.2797
MEM 72.328125 1749533644.3804
MEM 72.328125 1749533644.4809
MEM 72.328125 1749533644.5814
MEM 72.328125 1749533644.6818
MEM 72.328125 1749533644.7823
MEM 72.328125 1749533644.8828
MEM 72.328125 1749533644.9834
MEM 72.328125 1749533645.0841
MEM 72.328125 1749533645.1848
MEM 72.328125 1749533645.2855
MEM 72.328125 1749533645.3862
MEM 72.328125 1749533645.4868
MEM 72.328125 1749533645.5870
MEM 72.328125 1749533645.6875
MEM 72.328125 1749533645.7918
MEM 72.328125 1749533645.8923
MEM 72.328125 1749533645.9927
MEM 72.328125 1749533646.0939
MEM 72.328125 1749533646.1945
MEM 72.328125 1749533646.2953
MEM 72.328125 1749533646.3962
MEM 72.328125 1749533646.4967
MEM 72.328125 1749533646.5974
MEM 72.328125 1749533646.6979
MEM 72.328125 1749533646.7986
MEM 72.328125 1749533646.8991
MEM 72.328125 1749533646.9995
MEM 72.328125 1749533647.1002
MEM 72.328125 1749533647.2006
MEM 72.328125 1749533647.3010
MEM 72.328125 1749533647.4012
MEM 72.328125 1749533647.5019
MEM 72.328125 1749533647.6200
MEM 72.328125 1749533647.7214
MEM 72.328125 1749533647.8221
MEM 72.328125 1749533647.9226
MEM 72.328125 1749533648.0231
MEM 72.328125 1749533648.1238
MEM 72.328125 1749533648.2242
MEM 72.328125 1749533648.3247
MEM 72.328125 1749533648.4252
MEM 72.328125 1749533648.5259
MEM 72.328125 1749533648.6264
MEM 72.328125 1749533648.7269
MEM 72.328125 1749533648.8273
MEM 72.328125 1749533648.9280
MEM 72.328125 1749533649.0284
MEM 72.328125 1749533649.1291
MEM 72.328125 1749533649.2297
MEM 72.328125 1749533649.3303
MEM 72.328125 1749533649.4307
MEM 72.328125 1749533649.5314
MEM 72.328125 1749533649.6321
MEM 72.328125 1749533649.7328
MEM 72.328125 1749533649.8341
MEM 72.328125 1749533649.9356
MEM 72.328125 1749533650.0365
MEM 72.328125 1749533650.1370
MEM 72.328125 1749533650.2378
MEM 72.328125 1749533650.3386
MEM 72.328125 1749533650.4392
MEM 72.328125 1749533650.5405
MEM 72.328125 1749533650.6411
MEM 72.328125 1749533650.7417
MEM 72.328125 1749533650.8423
MEM 72.328125 1749533650.9428
MEM 72.328125 1749533651.0435
MEM 72.328125 1749533651.1439
MEM 72.328125 1749533651.2442
MEM 72.328125 1749533651.3449
MEM 72.328125 1749533651.4454
MEM 72.328125 1749533651.5459
MEM 72.328125 1749533651.6466
MEM 72.328125 1749533651.7471
MEM 72.328125 1749533651.8478
MEM 72.328125 1749533651.9490
MEM 72.328125 1749533652.0491
MEM 72.328125 1749533652.1497
MEM 72.328125 1749533652.2502
MEM 72.328125 1749533652.3509
MEM 72.328125 1749533652.4515
MEM 72.328125 1749533652.5527
